lat,lon,timestamp,significant_wave_height_m,wave_period_s,swell_height_m,swell_direction_deg
13.75,73.41666666666666,2026-09-01T00:00:00Z,2.18,8.9,1.42,265.1
13.75,73.5,2026-09-01T00:00:00Z,2.16,8.9,1.26,261.4
13.75,73.58333333333331,2026-09-01T00:00:00Z,2.13,8.9,1.27,261.3
13.75,73.66666666666666,2026-09-01T00:00:00Z,2.11,8.9,1.28,261.7
13.75,73.75,2026-09-01T00:00:00Z,2.08,8.9,1.27,261.7
13.75,73.83333333333331,2026-09-01T00:00:00Z,2.05,8.8,1.26,262.0
13.75,73.91666666666666,2026-09-01T00:00:00Z,2.0,8.8,1.24,262.1
13.75,74.0,2026-09-01T00:00:00Z,1.95,8.7,1.22,262.1
13.75,74.08333333333331,2026-09-01T00:00:00Z,1.92,8.7,1.22,262.4
13.75,74.16666666666666,2026-09-01T00:00:00Z,1.89,8.8,1.21,262.8
13.75,74.25,2026-09-01T00:00:00Z,1.87,8.8,1.2,262.8
13.75,74.33333333333331,2026-09-01T00:00:00Z,1.83,8.8,1.19,263.0
13.75,74.41666666666666,2026-09-01T00:00:00Z,1.79,8.8,1.17,263.1
13.75,74.5,2026-09-01T00:00:00Z,1.75,8.7,1.16,263.1
13.75,74.58333333333331,2026-09-01T00:00:00Z,1.64,8.8,1.12,263.0
13.75,74.66666666666666,2026-09-01T00:00:00Z,1.34,8.0,0.95,262.8
13.75,80.33333333333331,2026-09-01T00:00:00Z,0.61,13.4,0.45,145.7
13.75,80.41666666666663,2026-09-01T00:00:00Z,0.83,13.4,0.68,148.2
13.75,80.5,2026-09-01T00:00:00Z,1.05,13.1,0.87,152.9
13.75,80.58333333333331,2026-09-01T00:00:00Z,1.17,13.5,0.93,155.6
13.75,80.66666666666663,2026-09-01T00:00:00Z,1.26,13.8,0.96,156.6
13.75,80.75,2026-09-01T00:00:00Z,1.33,14.0,0.98,156.6
13.75,80.83333333333331,2026-09-01T00:00:00Z,1.38,14.1,0.98,157.4
13.75,80.91666666666663,2026-09-01T00:00:00Z,1.41,14.1,0.96,156.6
13.75,81.0,2026-09-01T00:00:00Z,1.45,14.2,0.94,157.4
13.833333333333329,73.0,2026-09-01T00:00:00Z,2.22,8.9,1.65,279.8
13.833333333333329,73.08333333333331,2026-09-01T00:00:00Z,2.22,8.9,1.64,279.7
13.833333333333329,73.16666666666666,2026-09-01T00:00:00Z,2.22,8.9,1.63,279.5
13.833333333333329,73.25,2026-09-01T00:00:00Z,2.21,8.9,1.62,279.5
13.833333333333329,73.33333333333331,2026-09-01T00:00:00Z,2.2,8.9,1.52,279.0
13.833333333333329,73.41666666666666,2026-09-01T00:00:00Z,2.19,8.9,1.33,265.1
13.833333333333329,73.5,2026-09-01T00:00:00Z,2.16,8.9,1.28,261.4
13.833333333333329,73.58333333333331,2026-09-01T00:00:00Z,2.13,8.9,1.29,261.3
13.833333333333329,73.66666666666666,2026-09-01T00:00:00Z,2.1,8.9,1.29,261.7
13.833333333333329,73.75,2026-09-01T00:00:00Z,2.07,8.8,1.28,261.7
13.833333333333329,73.83333333333331,2026-09-01T00:00:00Z,2.04,8.8,1.26,262.0
13.833333333333329,73.91666666666666,2026-09-01T00:00:00Z,2.0,8.8,1.24,262.1
13.833333333333329,74.0,2026-09-01T00:00:00Z,1.94,8.7,1.22,262.1
13.833333333333329,74.08333333333331,2026-09-01T00:00:00Z,1.91,8.7,1.21,262.4
13.833333333333329,74.16666666666666,2026-09-01T00:00:00Z,1.88,8.7,1.21,262.8
13.833333333333329,74.25,2026-09-01T00:00:00Z,1.86,8.8,1.2,262.8
